county_name,median_age,mean_savings,per_capita_income,percent_in_poverty,percent_veterans,percent_female,population_density,percent_in_nursing_homes,crime_index_PC,state,vote_for_dems_before,clinton_win
Jefferson,34.1,131030,19892,18.6,13.11,53.24,589.7,5.3,740,AL,FALSE,FALSE
Lauderdale,34.7,90707,16058,13.9,11.24,52.23,122,7.07,283,AL,FALSE,TRUE
Lawrence,32,32426,13763,17.8,7.19,50.8,46.4,4.22,108,AL,TRUE,TRUE
Lee,26.2,72622,14458,18.5,8.1,50.18,146.8,4.36,609,AL,FALSE,FALSE
Limestone,32.8,43175,16384,14.6,8.31,50.09,99.8,4.28,189,AL,FALSE,FALSE
Macon,28.9,37611,11402,35.3,11.53,53.59,40.1,8.12,669,AL,TRUE,TRUE
Madison,31.9,69070,21029,12.9,10.5,51.14,310.9,2.48,722,AL,FALSE,FALSE
Marengo,32.5,98897,13908,28.4,9.44,53.16,23.8,6.02,387,AL,TRUE,TRUE
Marion,35.7,106725,13238,18,9.49,51.01,40.1,6.03,71,AL,FALSE,TRUE
Marshall,35.3,100160,15857,14.7,10.25,52.16,129.3,4.6,381,AL,FALSE,FALSE
Mobile,31.9,72077,15569,24.3,11.35,52.56,314.7,4.53,709,AL,FALSE,FALSE
Monroe,31.4,76753,13997,21.6,9.15,52.07,23.4,5.38,164,AL,FALSE,FALSE
Montgomery,31.6,107844,19618,20.4,11.03,53.23,270.9,5.42,631,AL,FALSE,FALSE
Morgan,33.6,73523,18164,12.9,10.14,51.27,177.8,6.16,443,AL,FALSE,FALSE
Perry,30.2,62737,10986,42.4,8.37,53.52,17.2,10.16,402,AL,TRUE,TRUE
Pickens,34.3,74484,12687,25.7,8.45,53.2,23.7,7.7,181,AL,FALSE,TRUE
Pike,29.9,118415,14447,25.6,9.05,53.07,41.9,6.26,114,AL,FALSE,FALSE
Randolph,34.9,76144,13064,18.5,10.36,52.14,34.8,7.23,139,AL,FALSE,FALSE
Russell,33,42769,13664,20.4,10.1,52.17,76.4,5.32,473,AL,TRUE,TRUE
St. Clair,33.5,37438,13994,16.2,9.17,50.05,83.4,4.44,157,AL,FALSE,FALSE
Shelby,31.5,41609,20445,8.1,7.34,51.32,134.6,2.06,79,AL,FALSE,FALSE
Sumter,28.9,43536,11611,35.2,6.38,54.09,17.9,6.36,231,AL,TRUE,TRUE
Talladega,33,50652,13299,22.3,10.14,52.09,101.3,5.26,95,AL,FALSE,FALSE
Tallapoosa,35.5,94605,15961,18,10.32,53.22,54.6,12.17,187,AL,FALSE,FALSE
Tuscaloosa,30.6,63784,16035,19.3,10.16,52.12,115.9,7.05,793,AL,FALSE,FALSE
Walker,35,74034,15598,17.7,11.23,52.35,86.1,7.06,253,AL,TRUE,TRUE
Wilcox,30.4,58132,10300,41.3,6.9,53.37,15.4,5.4,,AL,TRUE,TRUE
Winston,35.5,96317,13674,16.2,9.26,51.16,36.3,13.18,151,AL,FALSE,FALSE
Apache,23.4,14062,,40.8,5.26,51.21,5.6,1.02,73,AZ,TRUE,TRUE
,32.6,54901,14288,21.9,12.09,49.6,16.3,3.57,343,AZ,FALSE,TRUE
Gila,38.8,74724,13832,21.3,12.06,51.14,8.9,7.42,370,AZ,FALSE,TRUE
Graham,29.4,49789,11037,26.1,9.26,49.01,6,4.28,241,AZ,FALSE,FALSE
Maricopa,32,90041,19451,16,9.55,51.26,240.4,3.18,760,AZ,FALSE,FALSE
Mohave,40.7,74282,14589,17.7,9.32,50.17,7.9,3.35,625,AZ,FALSE,FALSE
Navajo,26.5,33766,10568,31.2,7.11,50.23,8.1,1.54,310,AZ,FALSE,TRUE
Pima,32.8,65541,16747,19,11.02,51.34,75.3,3.32,,AZ,FALSE,TRUE
Pinal,32.6,44067,12724,25.7,9.45,49.06,22.4,3.12,563,AZ,FALSE,TRUE
Santa Cruz,29.5,128167,12100,27.4,5.4,52.17,26.2,1.33,600,AZ,FALSE,TRUE
Yavapai,42.4,95144,15378,15,10.09,51.07,14.3,,337,AZ,FALSE,FALSE
Yuma,30.5,60526,,28,9.48,49.01,21.5,3.3,63,AZ,FALSE,FALSE
Arkansas,35.5,177652,15327,19.6,13.31,53.14,21.6,13.08,457,AR,FALSE,TRUE
Ashley,33.9,74124,15044,21.3,11.9,52.08,26.7,11.17,373,AR,TRUE,TRUE
Baxter,47.1,121231,15577,14.9,12.29,52.25,58.8,7.45,109,AR,FALSE,TRUE
Benton,35.9,97252,18124,9.8,10,51.18,125.2,6.16,345,AR,FALSE,FALSE
Boone,36.5,62629,14605,14.2,11.15,52.07,49.6,13.24,168,AR,FALSE,TRUE
Bradley,36.6,132909,14936,23.8,10.22,52.44,17.8,17.12,304,AR,TRUE,TRUE
Calhoun,34.3,49484,12475,17.9,10.16,52.13,9.1,9.47,160,AR,FALSE,TRUE
Carroll,38.1,133734,14860,14.6,11.37,52.06,30.8,6.51,285,AR,FALSE,TRUE
Chicot,31.9,76209,12669,38.8,7.3,53.29,24.4,4.33,417,AR,TRUE,TRUE
Clark,32.2,119620,13403,20.6,11.22,52.48,24.8,11.28,202,AR,TRUE,TRUE
Clay,39.5,80249,13406,19,12.39,52.09,28,10.34,142,AR,TRUE,TRUE
Cleburne,41.7,105408,13970,16.7,12.11,51.46,36.7,10.54,219,AR,FALSE,TRUE
Cleveland,35.7,26922,12675,17.2,11.14,51.39,13.2,9.37,54,AR,FALSE,TRUE
Columbia,33.6,155722,14294,23.6,10.15,53.08,33.5,10.21,232,AR,FALSE,TRUE
Conway,34.7,59808,14486,18.5,12.49,52.17,34.7,9.43,177,AR,TRUE,TRUE
Craighead,31.6,87122,15310,16.8,9.13,52.25,99.9,8.46,445,AR,FALSE,TRUE
Crawford,32.6,60472,12673,18,10.37,51.09,74.4,12.27,297,AR,FALSE,FALSE
Crittenden,29.8,47128,14202,28,8.9,53.28,81.2,5.02,513,AR,FALSE,TRUE
Cross,32.2,105683,13750,24.9,9.14,52.37,31.2,8.26,242,AR,FALSE,TRUE
Dallas,36.4,90482,14782,21.3,11.05,52.12,14.2,19.05,296,AR,TRUE,TRUE
Desha,31.5,98155,13154,30.6,10.04,53.29,21.3,11.38,523,AR,TRUE,TRUE
Drew,31.8,84350,13477,19.6,10.36,51.7,20.8,8.02,123,AR,FALSE,TRUE
Faulkner,29.8,60028,15191,12.3,8.51,52.02,99.3,3.34,391,AR,FALSE,TRUE
Franklin,35.4,84306,12860,15.9,12.57,50.38,24.9,9.08,188,AR,FALSE,TRUE
Fulton,40.6,86435,10690,25.6,15.05,52,16.2,11.4,149,AR,TRUE,TRUE
Garland,40.8,95715,17457,17.9,14.06,52.32,112.1,8.38,554,AR,FALSE,TRUE
Grant,34.4,40619,14534,13,12.26,51.15,22.8,7.5,208,AR,FALSE,TRUE
Greene,35.5,87692,13029,16.4,11.01,51.59,56.8,7.47,265,AR,FALSE,TRUE
Hempstead,34.3,116516,13034,23.3,11.33,52.43,30.2,9.22,437,AR,FALSE,TRUE
Hot Spring,36.4,89702,12622,18.6,12.24,52.11,42.9,9.39,299,AR,TRUE,TRUE
Howard,34.5,109796,15854,17.5,9.15,52.26,23.3,26.39,151,AR,FALSE,TRUE
Independence,34.8,101619,14704,16.5,11.48,51.38,41.4,8.37,335,AR,FALSE,TRUE
Izard,43.9,97572,12867,21.1,12.57,51.04,20.3,17.01,49,AR,FALSE,TRUE
Jackson,36.7,79717,14215,23.9,11.42,52.21,29.8,12.43,280,AR,TRUE,TRUE
Jefferson,31.9,93840,14208,27.6,11.59,52.26,96.2,8.17,594,AR,TRUE,TRUE
Johnson,35.3,80327,12801,18,12.1,51.14,28.2,9.28,236,AR,FALSE,TRUE
Lafayette,35.1,102237,11796,30,9.03,52.41,17.9,11.06,136,AR,TRUE,TRUE
Lawrence,36.7,81939,12210,23.8,10.53,52.35,29.7,14.43,128,AR,FALSE,TRUE
Lee,31.9,45369,11213,45.4,8.34,52.1,21.4,6.51,471,AR,TRUE,TRUE
Lincoln,32.2,39478,10859,29,9.35,41.04,24.8,10.58,60,AR,TRUE,TRUE
Little River,33.8,,14504,19.1,12.23,51.47,25.8,10.51,206,AR,TRUE,TRUE
Logan,35.3,,13428,18.7,11.8,51.05,29.3,15.48,89,AR,FALSE,TRUE
Lonoke,32.5,65589,15744,14.2,9.02,51.23,53.4,12.04,215,AR,FALSE,TRUE
Madison,36,69156,13857,,12.01,,14.7,6.01,108,AR,FALSE,TRUE
Marion,42.7,70869,12902,19.1,13.59,51.16,20.9,8.16,127,AR,FALSE,TRUE
Miller,32.7,117603,13585,22.8,11.18,52.29,61.8,9.03,881,AR,FALSE,TRUE
Mississippi,29.4,62732,13954,26.2,9.06,52.21,61.2,7.18,822,AR,FALSE,TRUE
Monroe,34.5,106861,13899,33,11.48,53.01,18,,294,AR,TRUE,TRUE
Montgomery,40.1,54338,12035,22.5,14.03,51.08,10.2,7.28,180,AR,FALSE,TRUE
Nevada,35.6,70636,12803,19.9,11.44,52.27,16.1,17.1,74,AR,TRUE,TRUE
Newton,35.7,47612,10483,26.3,12.17,50.35,9.2,5.53,30,,FALSE,TRUE
Ouachita,35.2,71745,14052,22.1,12.28,53.23,40.4,12.26,442,,FALSE,TRUE
Perry,36.4,55942,12829,16.7,11.29,51.39,15.1,9.04,92,,FALSE,TRUE
Phillips,30.8,88659,12440,42.7,9.3,54.29,40.6,9.47,464,AR,TRUE,TRUE
Pike,36.4,130671,14460,17.4,12.27,51.18,16.6,14.1,71,AR,FALSE,TRUE
Poinsett,34.6,89898,13199,26.6,11.03,51.9,32.2,7.21,184,AR,TRUE,TRUE
Polk,38,87606,13423,21,14.06,51.22,20.6,10.12,169,AR,FALSE,TRUE
Pope,31.8,83848,15627,16,9.9,50.59,59.2,9.15,309,AR,FALSE,FALSE
Pulaski,32.4,105797,20027,17.1,12.57,52.52,458,6.13,1130,AR,FALSE,TRUE
Randolph,36.6,60560,11488,21.4,12.09,52.01,25.9,10.47,146,AR,TRUE,TRUE
St. Francis,31,59719,12171,35.7,8.24,53.46,44.5,11.35,771,AR,TRUE,TRUE
Saline,33.4,35739,15059,9.3,11.03,50.47,92.6,9.18,365,AR,FALSE,TRUE
Scott,36.2,92731,12566,21.1,10.9,51.21,11.6,10,97,AR,FALSE,TRUE
Sebastian,33.7,110853,18033,15.4,13.35,52.14,189.2,7.7,626,AR,FALSE,FALSE
Sevier,34.9,96997,14560,19.4,13.04,50.4,25.4,12.36,296,AR,FALSE,TRUE
Sharp,44.8,114766,12013,20.6,13.32,52.25,24.8,14.13,145,AR,FALSE,TRUE
Stone,39.2,62499,12046,23.9,10.04,51.33,16.8,9.02,112,AR,FALSE,TRUE
Union,34.5,113471,17626,19.2,12.16,52.7,44.9,13.13,475,AR,FALSE,TRUE
Van Buren,43.2,86181,12238,21.6,14.25,51.16,20,7.32,197,AR,FALSE,TRUE
Washington,30.8,97273,16784,11.7,10.15,50.51,126.4,6.11,429,AR,FALSE,TRUE
White,33.1,90898,13283,17.9,9.43,51.36,55,7.33,290,AR,FALSE,TRUE
Woodruff,34.3,98385,14331,31.8,9.55,53.27,15.7,13.01,59,AR,TRUE,TRUE
Yell,35.6,108440,14876,16.9,11.31,51.28,19.5,13.7,317,AR,FALSE,TRUE
Alameda,32.7,76414,23707,12.3,11.3,55.39,1774.1,4.01,837,CA,TRUE,TRUE
Amador,37.9,92568,16612,9.5,10.46,44.53,53.8,6.04,243,CA,FALSE,FALSE
Butte,33.8,61001,16197,19,11.12,51.18,115.5,4.11,538,CA,FALSE,TRUE
Calaveras,39.5,48330,16325,11.5,9.9,50.29,34.6,4.08,351,CA,FALSE,FALSE
Colusa,32.1,107363,19360,17.4,9.31,49.14,14.7,3.2,389,CA,FALSE,FALSE
Contra Costa,34.1,106163,27158,9,11.37,51.39,1166,3.28,606,CA,TRUE,TRUE
Del Norte,32.3,36592,12792,19.9,10.38,44.54,26.4,3.05,371,CA,FALSE,TRUE
El Dorado,35.3,40039,20424,8.5,10.21,50.32,80.3,2.35,379,CA,FALSE,FALSE
Fresno,29.3,59965,16854,28.1,8.47,50.38,118.4,4.26,910,CA,FALSE,TRUE
Glenn,32.6,82020,14674,19.5,10.49,50.29,19.4,2.9,380,CA,FALSE,FALSE
Humboldt,33.1,66404,16831,17.3,12.57,50.29,34.1,4.23,534,CA,TRUE,TRUE
Imperial,28.8,59797,13987,28.6,7.04,50.38,30.8,2.24,690,CA,FALSE,TRUE
Inyo,39,73921,18100,12.8,16.35,51.03,1.8,5.07,322,CA,FALSE,FALSE
Kern,29.7,44347,15963,21.8,8.55,49.4,72.2,2.43,648,CA,FALSE,FALSE
Kings,28.1,43635,13191,22.5,7.23,46.18,76.9,2.57,437,CA,FALSE,FALSE
Lassen,31.9,47613,14409,15.6,12.58,42.19,6.1,4.39,221,CA,FALSE,FALSE
Los Angeles,30.7,88044,21577,23.8,10.06,50.14,2233.5,3.55,762,CA,TRUE,TRUE
Madera,31.9,38324,15024,20.9,7.59,48.52,46.2,4.09,521,CA,FALSE,FALSE
Marin,38.1,105449,37387,6.4,15.06,50.2,449.2,5.18,398,CA,TRUE,TRUE
Mendocino,35.6,79473,17246,16.8,12.32,50.02,23.3,5.11,471,CA,TRUE,TRUE
Merced,27.9,42895,14962,24.5,8.07,49.21,98.1,2.26,509,CA,FALSE,TRUE
Modoc,37.2,74228,14472,18.2,12.18,49.36,2.5,6.12,231,CA,FALSE,FALSE
Monterey,29.6,64775,21143,16.1,10.25,48.48,111,3.24,533,CA,FALSE,TRUE
Napa,36.4,93299,24461,9.2,14.27,51.09,150.9,7.9,480,CA,FALSE,TRUE
Nevada,39.3,72156,18855,9.5,10.14,51.17,87,3.17,334,CA,FALSE,FALSE
Orange,31.4,82212,24996,12.6,10.7,52.17,3147.8,2.49,571,CA,FALSE,FALSE
Placer,35.1,73442,22748,8.5,10.12,50.56,133.2,4.04,463,CA,FALSE,FALSE
Plumas,39,75850,17503,11.5,14.41,50.12,8.1,4.33,559,CA,FALSE,TRUE
Riverside,31.5,41389,17969,15,7.31,50.11,179,2.48,738,CA,FALSE,TRUE
Sacramento,31.9,62605,20397,16.3,11.14,51.2,1130.3,3.05,763,CA,FALSE,TRUE
San Benito,30.3,60184,17122,12.9,7.12,49.27,27.7,3.28,428,CA,FALSE,TRUE
San Bernardino,29.3,31179,16388,17.5,8.15,50.05,76.4,2.4,691,CA,FALSE,TRUE
San Diego,30.9,68605,20689,16.3,10.3,52.7,618.8,3.13,660,CA,FALSE,TRUE
San Francisco,35.8,360313,31918,13.5,11.39,53.45,15621,3.9,1082,CA,TRUE,TRUE
San Joaquin,30.9,66194,17138,18.8,8.56,49.23,360.2,4.02,815,CA,FALSE,TRUE
San Luis Obispo,33.1,67268,18261,12.7,10.01,48.53,66.8,3.7,383,CA,FALSE,TRUE
San Mateo,34.8,88188,30531,6.9,13.11,51.25,1476.7,3.41,447,CA,TRUE,TRUE
Santa Barbara,31.6,90068,23680,14.5,11.01,49.36,137.5,3.19,503,CA,FALSE,TRUE
Santa Clara,31.9,92634,26772,9.2,11.42,55.09,1183.1,3.32,489,CA,TRUE,TRUE
Santa Cruz,33,64480,23076,13.8,10.33,50.03,519.2,4.31,608,CA,TRUE,TRUE
Shasta,34.9,70305,17292,15.9,11.18,51.37,41.6,3.29,469,CA,FALSE,FALSE
Siskiyou,37.3,83006,15864,16.6,14.49,51.05,7,3.24,403,CA,FALSE,TRUE
Solano,30.8,43141,18901,9.7,10.11,50.17,435.3,3.15,628,CA,TRUE,TRUE
Sonoma,34.8,72064,22928,10.4,11.28,51.22,255.4,4.26,490,CA,TRUE,TRUE
Stanislaus,30.5,57185,16787,17.2,8.09,50.41,264.4,4.41,668,CA,FALSE,TRUE
Sutter,32.4,60863,18574,15.6,9.8,50.42,115.1,2.35,539,CA,FALSE,FALSE
Tehama,36,64007,14062,18.2,11.27,51.12,17.6,3.23,517,CA,FALSE,TRUE
Tulare,29.2,54247,15342,28.2,8.05,50.36,68.7,3.27,632,CA,FALSE,FALSE
Tuolumne,37.2,75885,16919,12,11.07,47.37,22.6,1.32,387,CA,FALSE,TRUE
Ventura,31.7,57175,21837,11.1,10.52,50.39,372,2.28,439,CA,FALSE,TRUE
Yolo,28.9,72646,19586,16.6,9.37,49.59,143.2,5.35,712,CA,TRUE,TRUE
Yuba,29.2,37114,13956,21.1,10.26,50.36,96.3,1.37,622,CA,FALSE,FALSE
Adams,30.7,23650,16715,12.9,13.23,50.27,235.1,4.16,692,CO,TRUE,TRUE
Alamosa,28.1,65165,13935,24,8.3,51.16,19.2,8.24,650,CO,FALSE,TRUE
Arapahoe,32.4,59827,24963,6.7,11.23,51.16,523.7,3.23,654,CO,FALSE,FALSE
Bent,39.1,83252,16563,20,25.04,48.09,3.3,11.2,226,CO,TRUE,TRUE
Boulder,31.6,66155,23661,8.3,10.17,50.37,320.5,3.02,563,CO,TRUE,TRUE
Chaffee,37.1,34978,14582,14.1,15.47,46.14,12.7,8.38,391,CO,FALSE,FALSE
Cheyenne,32,252148,22942,9.9,9.6,49.12,1.4,12,144,CO,FALSE,FALSE
Crowley,34.2,33100,12074,30.9,10.15,37.53,5.1,12.5,20,CO,FALSE,FALSE
Delta,40.7,64889,14386,17.4,12.26,50.25,19.3,14.43,270,CO,FALSE,FALSE
Denver,33.9,159683,24184,18,14.01,51.3,3162.4,5.32,861,CO,TRUE,TRUE
Douglas,32.3,31325,26345,2.8,5.23,49.7,87,1,233,CO,FALSE,FALSE
Elbert,33.8,20518,19050,6.1,9.39,50.31,5.8,3.36,144,CO,FALSE,FALSE
El Paso,30.2,46370,18342,12.1,11.37,50.14,197.8,3.19,562,CO,FALSE,FALSE
Fremont,37.7,55091,13374,17.4,13.29,48.04,21.5,18.34,373,CO,FALSE,FALSE
Garfield,32.8,85107,17552,10.4,9.7,49.03,10.6,8.25,403,CO,FALSE,TRUE
Gunnison,28.2,75537,15395,12.2,11.29,47.18,3.3,4.29,866,CO,FALSE,TRUE
Huerfano,39.6,,13464,24.9,12.8,51.07,3.7,7.18,332,CO,TRUE,TRUE
Jefferson,33.3,,22563,6.2,12.05,50.53,589.1,5.37,494,CO,FALSE,FALSE
Kiowa,37,,25714,11.5,16.19,50.7,0.9,16.03,69,CO,FALSE,FALSE
Kit Carson,34.9,157813,20128,12.8,,50.51,3.3,5.28,300,CO,FALSE,FALSE
La Plata,31.9,71699,17714,12.4,10.1,50.04,20.4,,502,CO,FALSE,TRUE
Larimer,31.1,51416,18404,10.8,9.15,50.57,76.2,5.18,,,FALSE,TRUE
Las Animas,37.7,79200,13208,24.8,13.34,51.16,2.9,12.55,393,CO,TRUE,TRUE
Lincoln,36.9,141193,21016,16.2,12.31,42.7,1.8,17.39,187,CO,FALSE,FALSE
,34.7,90658,17526,14.8,13.33,51.14,9.4,10.23,444,CO,FALSE,FALSE
,34.7,63968,16917,14.2,12.13,51.38,29.5,6.57,547,CO,FALSE,FALSE
,31.8,50988,17826,11.7,15.6,49.28,2.4,4.31,389,CO,FALSE,FALSE
,,89807,15127,17.1,11.07,51.21,9.6,4.14,488,CO,FALSE,FALSE
Montrose,37.1,89816,15909,12.7,12.18,51.09,11.4,10.16,404,CO,FALSE,FALSE
Morgan,33.1,85987,18110,15.5,12.22,51.33,17.7,10.18,436,CO,FALSE,FALSE
Otero,34.9,73156,15185,24.4,13.06,51.6,15.9,19.3,416,CO,FALSE,TRUE
Phillips,38.5,,18999,11,12.22,52.54,6,9.51,66,CO,FALSE,FALSE
Prowers,32,132074,15730,21.3,9.42,51.24,8,7.27,577,CO,FALSE,FALSE
Pueblo,34.7,52264,15582,20.7,,51.46,51.8,6.2,651,CO,TRUE,TRUE
Rio Blanco,32.3,110260,17470,9.4,14.35,49.19,1.9,,334,CO,FALSE,FALSE
Rio Grande,33.7,52253,15286,23,12.25,50.54,11.7,11.33,328,,FALSE,FALSE
Routt,32.4,119068,22654,6.5,11.37,47.02,6.4,3.05,374,CO,FALSE,TRUE
Sedgwick,40.8,83346,18661,12,16.32,51.21,4.7,11.54,104,CO,FALSE,FALSE
Teller,34.6,54644,19068,9.3,10.17,49.35,24.8,2.54,374,CO,FALSE,FALSE
Washington,37.3,128854,19003,13,13.07,50.15,1.8,6.09,87,CO,FALSE,FALSE
Weld,30.5,55994,16466,15.3,10.26,,34.1,5.28,565,,FALSE,FALSE
Yuma,35.8,133721,19370,12,12.32,51.01,3.8,12,224,CO,FALSE,FALSE
Fairfield,35.5,191020,36257,7.7,13.34,52.01,1322.7,7.15,512,CT,FALSE,FALSE
Hartford,34.5,199847,26063,,12.8,52.12,1151.5,11.22,595,CT,TRUE,TRUE
Litchfield,35.7,140960,24501,5.5,13.23,51.13,192.1,7.11,175,CT,FALSE,FALSE
Middlesex,34.8,139647,25217,5.2,13.37,51.1,392.1,9.12,232,CT,FALSE,TRUE
New Haven,,159677,23651,11,12.59,52.26,1323.9,9.34,618,CT,FALSE,TRUE
New London,32.5,106965,22301,8.3,14.19,50.15,372.2,7.7,263,CT,FALSE,TRUE
Tolland,31.5,94933,20956,5.1,12.15,50.26,316.5,2.55,114,CT,FALSE,TRUE
Windham,32.7,84472,19510,9.6,12.16,51.14,201.2,9.09,133,CT,FALSE,TRUE
,31.1,120322,16094,13,10.47,51.37,196.4,8.12,390,DE,FALSE,FALSE
New Castle,32.5,631534,23628,9.9,12.39,51.34,1065.9,5.24,425,DE,FALSE,TRUE
Sussex,36.4,130718,17484,13.9,10.38,51.4,127.3,10.17,233,DE,FALSE,FALSE
Alachua,28.3,67103,17520,20.2,9.09,51.01,216.1,4.02,1082,FL,FALSE,TRUE
Baker,30.2,40609,13593,19.4,9.05,47.21,33,3.47,372,FL,FALSE,FALSE
Bay,33.2,41969,16424,16.3,10.35,51.04,174.7,3.42,740,FL,FALSE,FALSE
Bradford,33.6,55896,12438,21.6,14.16,44.38,78.4,4.3,759,FL,FALSE,FALSE
Brevard,36.2,67498,18715,11.6,11.42,50.49,417.5,3.06,668,FL,FALSE,FALSE
Broward,37.7,73135,22929,12.3,11.15,52.33,1084.5,3.04,853,FL,FALSE,TRUE
Calhoun,33.5,45242,11330,22.3,8.09,49.05,20.1,12.19,77,FL,FALSE,FALSE
Charlotte,53.6,88873,17584,10,9.21,51.8,173.6,5.55,366,FL,FALSE,FALSE
Citrus,50.8,89403,14941,15.5,10.15,52.08,171.5,5.15,276,FL,FALSE,FALSE
Clay,32,42602,17407,8.8,9.28,51.21,189.5,4.35,487,FL,FALSE,FALSE
Collier,40.7,126370,28557,13.1,7.56,50.29,81.6,4.07,571,FL,FALSE,FALSE
Columbia,33.6,56503,14089,20.4,11.13,51.39,55.7,2.07,728,,FALSE,FALSE
Duval,31.5,82961,18857,15.4,11.57,50.8,903,4.08,1033,FL,FALSE,FALSE
Escambia,32.4,70654,16345,20.3,12.48,51.36,407.2,4.24,741,FL,FALSE,FALSE
Flagler,46.4,104754,14689,10.9,6.24,52.37,69.3,3.23,372,FL,FALSE,TRUE
Franklin,38.9,51274,,21.1,10.57,50.57,17.2,14.13,242,FL,FALSE,FALSE
Gadsden,31.8,45618,13185,29.2,9.17,,81.8,4.27,511,FL,TRUE,TRUE
Gilchrist,,46294,12536,17.8,8.29,47.07,29.8,11.15,139,FL,FALSE,TRUE
,35.7,36246,13797,19.3,10.08,50.13,20.7,10.31,214,FL,FALSE,FALSE
Hamilton,30.9,14973,12066,24.3,7.3,47.1,21.8,5.36,19,FL,FALSE,TRUE
Hardee,32.8,96343,15621,27,10.27,49.21,31.5,4.13,556,FL,FALSE,FALSE
Hendry,30.3,59821,17157,22.9,7.19,49.32,24,4.08,,FL,FALSE,FALSE
Hernando,49.5,89897,14930,13.9,7.24,52.31,229.6,4.53,476,FL,FALSE,TRUE
Highlands,51.5,93767,16275,16.9,10.11,52.41,69.2,7.4,639,FL,FALSE,FALSE
Hillsborough,33,86182,18401,17,10.43,51.13,814.9,3.58,1043,FL,FALSE,FALSE
Holmes,35.6,46441,11892,24.6,10.56,49.23,33.8,7.24,120,FL,FALSE,FALSE
Indian River,44,,26637,,9.58,52.02,,4.48,585,FL,FALSE,FALSE
Jackson,34.3,62200,14271,20.9,10.58,49.32,46.4,7.34,217,FL,FALSE,FALSE
Jefferson,33.8,56216,14175,22.9,9.21,49.53,19.6,4.7,492,FL,FALSE,TRUE
Lake,44.7,101453,,14.1,10.02,52.36,170.3,6.2,452,FL,FALSE,FALSE
Lee,42,102447,20349,12.3,9.07,52.16,439.4,4.11,626,,FALSE,FALSE
